model,accuracy,macro_f1,weighted_f1,macro_precision,macro_recall
RandomForest,0.7891384292093512,0.7495058007166772,0.782211601127645,0.8576033524864342,0.6994066563272633
SVM,0.41620698712897297,0.3758858586831263,0.4237079274839674,0.37369787899767704,0.3881281386429166
LogisticRegression,0.3747044917257683,0.35830282570019545,0.3876886019895242,0.3670248661060345,0.3962288137224077
