model,accuracy,macro_f1,weighted_f1,macro_precision,macro_recall
RandomForest,0.9518836255128683,0.5767800436865581,0.9327123251738849,0.9758155230596175,0.548951048951049
LogisticRegression,0.6348999129677981,0.46122433183571654,0.7344881116307468,0.5283842825236724,0.6322910409789843
SVM,0.6312321273156782,0.4602345635770742,0.7316322873371515,0.5290049030104375,0.6358529833707138
